Aaliyah (np) 	Aaliyah (np.ant) 
rhugl	fluent (adj) 
rhuglo	chafe (vblex) 
rhuo	roar (vblex) 
rhusio	shy (vblex) 
rhuthro	rush (vblex) 
rhwbio	rub (vblex) 
rhwchio	grunt (vblex) 
rhwdu	rust (vblex) 
rhwng	between (pr) 
rhwydd	easy (adj.sint) 
rhwyddhau	facilitate (vblex) 
rhwyd	net (n) 
rhwydo	ensnare (vblex) 
rhwydwaith	network (n) 
rhwyfo	row (vblex) 
rhwygadwy	tearoff (adj) 
rhwygiad	split (n) 
rhwygo	tear (vblex) 
rhwymedd	constipation (n) 
rhwymedigaeth	obligation (n) 
rhwymiad	binding (n) 
rhwymo	bind (vblex) 
rhwym	obliged (adj) 
rhwymynnu	swathe (vblex) 
rhwystredigaeth	frustration (n) 
rhwystredig	frustrated (adj) 
rhwystr	obstacle (n) 
rhwystro	hinder (vblex) 
rhybedio	rivet (vblex) 
rhybedu	rivet (vblex) 
rhybuddio	warn (vblex) 
rhybudd	warning (n) 
rhychwant	range (n) 
rhychwantu	span (vblex) 
rhydd	free (adj.sint) 
rhyddfreinio	emancipate (vblex) 
rhyddfrydig	liberal (adj) 
rhyddhad	emancipation (n) 
rhyddhad	liberation (n) 
rhyddhad	release (n) 
rhyddhau	release (vblex) 
rhyddid	freedom (n) 
rhydu	rust (vblex) 
Rhydychen	Oxford (np.top) 
rhydyllu	perforate (vblex) 
rhyfeddod	marvel (n) 
rhyfeddol	wonderful (adj) 
rhyfedd	strange (adj.sint) 
rhyfeddu	wonder (vblex) 
rhyfela	make#_war (vblex) 
rhyfel	war (n) 
rhyferthwy	tsunami (n) 
rhyfygu	behave#_arrrogantly (vblex) 
rhygnu	grate (vblex) 
rhyg	rye (n) 
rhygyngu	canter (vblex) 
Rhyl	Rhyl (np.top) 
rhyng-broffesiynol	inter-professional (adj) 
rhyngbrosesol	interprocess (adj) 
rhyngol	intermediate (adj) 
rhyngrwyd	internet (n) 
rhyngu	gratify (vblex) 
rhyngweithiad	interaction (n) 
rhyngweithiol	interactive (adj) 
rhyngwladol	international (adj) 
rhyngwyneb	interface (n) 
rhyngwynebu	interface (vblex) 
rhynnu	shiver (vblex) 
Rhys (np) 	Rhys (np.ant) 
rhythu#_ar	stare#_at (vblex) 
rhythu	gape (vblex) 
rhy	too (adj) 
rhyw	approximately (adj) 
rhywbeth (prn.tn.m) 	something (prn.tn.nt.sg) 
rhywfaint	somewhat (adv) 
rhywiol	sexual (adj) 
rhywle	somewhere (adv) 
rhywogaeth	species (n) 
rhyw	sex (n) 
rhyw	some (adj) 
rhywsut	somehow (adv) 
rhywun_arall (prn.tn.m) 	someone_else (prn.tn.m.sg) 
rhywun (prn.tn.m.sg.tn.m) 	someone (prn.tn.m.sg) 
Richard (np) 	Richard (np.ant) 
Richards (np) 	Richards (np.cog) 
Richardson (np) 	Richardson (np.cog) 
Riley (np) 	Riley (np.ant) 
Rio (np) 	Rio (np.ant) 
risg	risk (n) 
Roan (np) 	Roan (np.ant) 
Roazhon	Rennes (np.top) 
Robbie (np) 	Robbie (np.ant) 
Robert (np) 	Robert (np.ant) 
Roberto (np) 	Roberto (np.ant) 
Roberts (np) 	Roberts (np.cog) 
Robertson (np) 	Robertson (np.cog) 
Robin (np) 	Robin (np.ant) 
Robinson (np) 	Robinson (np.cog) 
Rocio (np) 	Rocio (np.ant) 
Rodriguez (np) 	Rodriguez (np.cog) 
Roger (np) 	Roger (np.ant) 
Rogers (np) 	Rogers (np.cog) 
Rohan (np) 	Rohan (np.ant) 
rôl	role (n) 
Romania	Romania (np.top) 
România	Romania (np.top) 
Romeo (np) 	Romeo (np.ant) 
Ronan (np) 	Ronan (np.ant) 
Rory (np) 	Rory (np.ant) 
Rosa (np) 	Rosa (np.ant) 
Rose (np) 	Rose (np.ant) 
Rose (np) 	Rose (np.cog) 
Ross (np) 	Ross (np.ant) 
Ross (np) 	Ross (np.cog) 
Rowan (np) 	Rowan (np.ant) 
Rowland (np) 	Rowland (np.ant) 
rowlio	roll (vblex) 
rownd	round (n) 
Ruairidh (np) 	Ruairidh (np.ant) 
Ruaridh (np) 	Ruaridh (np.ant) 
Ruari (np) 	Ruari (np.ant) 
Ruben (np) 	Ruben (np.ant) 
Russell (np) 	Russell (np.cog) 
Rwanda	Rwanda (np.top) 
rwan	now (adv) 
rŵan	now (adv) 
rwbel	rubble (n) 
rwber	rubber (n) 
rwdlan	talk#_rubbish (vblex) 
rwdlian	talk#_rubbish (vblex) 
Rwmania	Romania (np.top) 
Rwseg	Russian (n) 
Rwsiaidd	Russian (adj) 
Rwsia	Russia (np.top) 
Ryan (np) 	Ryan (np.ant) 
Rydaman	Rydaman (np.top) 
rygbi	rugby (n) 
Rygbi'r_Undeb (np.org) 	Rugby_Union (np.org) 
sach	sack (n) 
sacio	sack (vblex) 
sadio	stabilise (vblex) 
sadrwydd	firmness (n) 
sadrwydd	stability (n) 
Sadwrn	Saturn (n) 
saer	carpenter (n) 
saernïo	fashion (vblex) 
Saesneg	English (adj) 
saeth	arrow (n) 
saethiad	shot (n) 
saethu	shoot (vblex) 
saets	sage (n) 
safbwynt	standpoint (n) 
saffir	sapphire (n) 
safiad	stand (n) 
safio	save (vblex) 
safle	position (n) 
safnio	devour (vblex) 
safnrhythu	gape (vblex) 
safoni	standardise (vblex) 
safonol	standard (adj) 
safon	standard (n) 
safwe	website (n) 
Sahara	Sahara (np.top) 
saib	pause (n) 
saib	rest (n) 
sail	base (n) 
sain	sound (n) 
saith	seven (num) 
sâl	ill (adj.sint) 
Salma (np) 	Salma (np.ant) 
Salvador (np) 	Salvador (np.ant) 
salwch	illness (n) 
Sambia	Zambia (np.top) 
Sam (np) 	Sam (np.ant) 
Samoa	Samoa (np.top) 
samona	catch#_salmon (vblex) 
samplo	sample (vblex) 
sampl	sample (n) 
samplu	sample (vblex) 
Samuel (np) 	Samuel (np.ant) 
sancsiwn	sanction (n) 
sanctaidd	holy (adj.sint) 
sancteiddio	sanctify (vblex) 
Sandra (np) 	Sandra (np.ant) 
Sandy (np) 	Sandy (np.ant) 
sangu	trample (vblex) 
San_Marino	San_Marino (np.top) 
San_Steffan	Westminster (np.top) 
Sant_Cristoffer_a_Nefis	Saint_Kitts_and_Nevis (np.top) 
Santiago (np) 	Santiago (np.ant) 
Sant_Kitts_a_Nevis	Saint_Kitts_and_Nevis (np.top) 
Sant_Lwsia	Saint_Lucia (np.top) 
sant	saint (n) 
São_Tomé_a_Príncipe	São_Tomé_and_Príncipe (np.top) 
Sara (np) 	Sara (np.ant) 
Saray (np) 	Saray (np.ant) 
sarhad	insult (n) 
sarhau	insult (vblex) 
sarnu	spill (vblex) 
Sarra (np) 	Sarra (np.ant) 
sarsio	charge (vblex) 
sathru	trample (vblex) 
Saudi_Arabia	Saudi_Arabia (np.top) 
Saul (np) 	Saul (np.ant) 
sawl (det.itg) 	how_many (det.itg.pl) 
sawl	several (adj) 
sawrio	smell (vblex) 
sawru	smell (vblex) 
Sbaeneg	Spanish (adj) 
Sbaen	Spain (np.top) 
sbarduno	spur (vblex) 
sbario	spare (vblex) 
sbecian	peep (vblex) 
sbectrwm	spectrum (n) 
sbeis	spice (n) 
sbeitio	spite (vblex) 
sbidomedr	speedometer (n) 
sbio	look (vblex) 
sbïo	look (vblex) 
sbiral	spiral (n) 
sblasio	splash (vblex) 
sboncio	bounce (vblex) 
Sbondonics	Sbondonics (n) 
sbotliw	spot_colour (n) 
Sbri-di-ri	Sbri-di-ri (n) 
sbrintio	sprint (vblex) 
sbŵl	spool (n) 
sbwlydd	spooler (n) 
sbwriel	rubbish (n) 
sbwylio	spoil (vblex) 
Scott (np) 	Scott (np.ant) 
Scott (np) 	Scott (np.cog) 
Sean (np) 	Sean (np.ant) 
Sebastian (np) 	Sebastian (np.ant) 
Sebastià (np) 	Sebastià (np.ant) 
seboni	soap (vblex) 
sebon	soap (n) 
secondio	second (vblex) 
seco	sack (vblex) 
secretu	secrete (vblex) 
sectorau	sector (n) 
sector	sector (n) 
sedd	seat (n) 
sef	namely (cnjsub) 
sefydledig	established (adj) 
sefydliad	establishment (n) 
sefydliad	institution (n) 
sefydliadol	institutional (adj) 
sefydlog	fixed (adj) 
sefydlogi	stabilise (vblex) 
sefydlogrwydd	stability (n) 
sefydlog	stable (adj) 
sefydlu	establish (vblex) 
sefyllfa	situation (n) 
sefyll#_prawf	stand#_trial (vblex) 
sefyll	stand (vblex) 
segment	segment (n) 
segura	idle (vblex) 
segur	idle (adj) 
seguro	idle (vblex) 
segur	standby (adj) 
seibio	pause (vblex) 
seiciatreg	psychiatry (n) 
seiciatrig	psychiatric (adj) 
seiciatrydd	psychiatrist (n) 
seiclo	cycle (vblex) 
seicolawdriniaeth	psychosurgery (n) 
seicolegol	psychological (adj) 
seicoleg	psychology (n) 
seicolegwr	psychologist (n) 
seiffr	cipher (n) 
seiliedig	based (adj) 
seilio	base (vblex) 
seilwaith	foundation (n) 
seimio	grease (vblex) 
Seimon (np) 	Seimon (np.ant) 
seinegol	phonetic (adj) 
seineg	phonetics (n) 
seiniol	vocal (adj) 
seinio	resound (vblex) 
seinyddiaeth	phonology (n) 
seinyddol	phonological (adj) 
seinydd	speaker (n) 
Seioniaeth	Zionism (n) 
seisnigeiddio	anglicise (vblex) 
seisnigo	anglicise (vblex) 
seithfed	seventh (det.ord) 
Seland_Newydd	New_Zealand (np.top) 
selio	seal (vblex) 
sêl	sale (n) 
sêl	seal (n) 
seminar	seminar (n) 
Sence (np) 	Sence (np.ant) 
seneddol	parliamentary (adj) 
senedd	parliament (n) 
Senegal	Senegal (np.top) 
Sénégal	Senegal (np.top) 
sengi	trample (vblex) 
sengl	single (adj) 
sennu	taunt (vblex) 
sensitifrwydd	sensitivity (n) 
sensitif	sensitive (adj) 
septagon	septagon (n) 
Serbia	Serbia (np.top) 
serch	notwithstanding (cnjsub) 
serchu	love (vblex) 
seremoni	ceremony (n) 
serennu	sparkle (vblex) 
seren	star (n) 
serfio	serve (vblex) 
Sergi (np) 	Sergi (np.ant) 
serio	sear (vblex) 
sero	zero (n) 
serth	steep (adj.sint) 
Serwotka (np) 	Serwotka (np.cog) 
seryddiaeth	astronomy (n) 
sesiwn	session (n) 
Seth (np) 	Seth (np.ant) 
setliad	settlement (n) 
setlo	settle (vblex) 
set	set (n) 
Seychelles	Seychelles (np.top) 
sffêr	sphere (n) 
sgaldian	scald (vblex) 
sgaldio	scald (vblex) 
Sgandinafia	Scandinavia (np.top) 
sganio	scan (vblex) 
sganiwr	scanner (n) 
sgathru	cut (vblex) 
sgeintio	sprinkle (vblex) 
sgema	schema (n) 
sgerbwd	skeleton (n) 
sgil-effaith	side-effect (n) 
sgileffaith	side-effect (n) 
sgìl	skill (n) 
sgîl	skill (n) 
sgio	ski (vblex) 
sgipio	skip (vblex) 
sgiwedd	skewness (n) 
sglefrholio	rollerskate (vblex) 
sglefrio	skate (vblex) 
sgleiniog	glossy (adj) 
sgleinio	polish (vblex) 
sgôp	scope (n) 
sgorio	score (vblex) 
sgori	score (vblex) 
sgôr	score (n) 
sgrafellu	scrape (vblex) 
sgrapio	scrape (vblex) 
sgrap	scrap (n) 
sgrechain	scream (vblex) 
sgrechian	scream (vblex) 
sgrechio	scream (vblex) 
sgrialu	scramble (vblex) 
sgriblan	scribble (vblex) 
sgriblian	scribble (vblex) 
sgriblo	scribble (vblex) 
sgrifennu	write (vblex) 
sgrinio	screen (vblex) 
sgrinlun	screenshot (n) 
sgrin	screen (n) 
sgript	script (n) 
sgriwio	screw (vblex) 
sgrolydd	scroller (n) 
sgrotwm	scrotum (n) 
sgrwbio	scrub (vblex) 
sgwad	squad (n) 
sgwario	square (vblex) 
sgwâr	square (n) 
sgwaryn	set_square (n) 
sgwennu	write (vblex) 
sgwlcan	skulk (vblex) 
sgwrio	scour (vblex) 
sgwrs	chat (n) 
sgwrsio	chat (vblex) 
Shane (np) 	Shane (np.ant) 
Shaun (np) 	Shaun (np.ant) 
Shaw (np) 	Shaw (np.cog) 
Shayne (np) 	Shayne (np.ant) 
Shay (np) 	Shay (np.ant) 
siafio	shave (vblex) 
siafo	shave (vblex) 
sialens	challenge (n) 
sialensio	challenge (vblex) 
siamanaeth	shamanism (n) 
siambr	chamber (n) 
sianel	channel (n) 
sianelu	direct (vblex) 
Siapanaidd	Japanese (adj) 
Siapaneg	Japanese (n) 
Siapan	Japan (np.top) 
siapio	shape (vblex) 
siapo	shape (vblex) 
siâp	shape (n) 
siarad#_am	talk#_about (vblex) 
siarad#_â	talk#_to (vblex) 
siarad	talk (vblex) 
siaradwr	speaker (n) 
siario	share (vblex) 
siarsio	charge (vblex) 
siart	chart (n) 
siartredig	chartered (adj) 
siawns	chance (n) 
siawnsio	chance (vblex) 
Sibil (np) 	Sibil (np.ant) 
sibrwd	rumour (n) 
sibrwd	whisper (vblex) 
sicr	certain (adj) 
sicrhau	ensure (vblex) 
sicr	sure (adj.sint) 
sicrwydd	certainty (n) 
sidan	silk (n) 
sidellu	revolve (vblex) 
sidyllio	revolve (vblex) 
siec	cheque (n) 
Sierra_Leone	Sierra_Leone (np.top) 
siffrwd	rustle (vblex) 
sifil	civil (adj) 
sigaren	cigarette (n) 
siglo	swing (vblex) 
sigo	buckle (vblex) 
silff	shelf (n) 
silindr	cylinder (n) 
silio	shell (vblex) 
sillafiad	spelling (n) 
sillaf	syllable (n) 
sillafu	spell (vblex) 
sillwyddor	syllabary (n) 
Sílvia (np) 	Sílvia (np.ant) 
silwair	silage (n) 
Simbabwe	Zimbabwe (np.top) 
Simon (np) 	Simon (np.ant) 
Simpson (np) 	Simpson (np.cog) 
simsan	totter (vblex) 
simsanu	totter (vblex) 
sinema	cinema (n) 
Singapore	Singapore (np.top) 
Singapôr	Singapore (np.top) 
sin	sine (n) 
sinsir	ginger (n) 
sïo	buzz (vblex) 
siocled	chocolate (n) 
sioc	shock (n) 
sioe	show (n) 
siom	disappointment (n) 
siomedig	disappointed (adj) 
siomi	disappoint (vblex) 
sioncio	enliven (vblex) 
sionc	nimble (adj) 
Sioned (np) 	Sioned (np.ant) 
Siôn (np) 	Siôn (np.ant) 
siopa	shop (vblex) 
siop	shop (n) 
siopwr	shopper (n) 
Siorja	Georgia (np.top) 
Siorsia	Georgia (np.top) 
sipian	sip (vblex) 
sipio	sip (vblex) 
Sir_Aberteifi	Cardiganshire (np.top) 
Sir_Benfro	Pembrokeshire (np.top) 
sir	county (n) 
Sir_Ddinbych	Denbighshire (np.top) 
Sir_Drefaldwyn	Montgomeryshire (np.top) 
Sir_Faesyfed	Radnorshire (np.top) 
Sir_Feirionnydd	Merionethshire (np.top) 
Sir_Fôn	Anglesey (np.top) 
Sir_Forgannwg	Glamorganshire (np.top) 
Sir_Frycheiniog	Brecknockshire (np.top) 
Sir_Fynwy	Monmouthshire (np.top) 
Sir_Gaerfyrddin	Carmarthenshire (np.top) 
Sir_Gaernarfon	Caernarfonshire (np.top) 
Sir_Gwynedd	Gwynedd (np.top) 
sirioli	gladden (vblex) 
sirol	county (adj) 
si	rumour (n) 
Sir_y_Fflint	Flintshire (np.top) 
sisial	murmur (vblex) 
siswrn	pair#_of_scissors (n) 
siwglo	juggle (vblex) 
siwgr	sugar (n) 
siwrhau	ensure (vblex) 
siwrnai	journey (n) 
siwr	sure (adj.sint) 
siŵr	sure (adj.sint) 
siwtio	suit (vblex) 
slaes	slash (n) 
slafaidd	slavish (adj) 
Slater (np) 	Slater (np.cog) 
slawer_dydd	in_the_old_days (adv) 
sleifio	sneak (vblex) 
slobran	slobber (vblex) 
Slofacia	Slovakia (np.top) 
Slofenia	Slovenia (np.top) 
slotian	tipple (vblex) 
slotio	slot (vblex) 
Slovenija	Slovenia (np.top) 
smala	droll (adj) 
smalio	joke (vblex) 
Smith (np) 	Smith (np.cog) 
smocio	smoke (vblex) 
smonach	mess (n) 
smotyn	spot (n) 
smwddio	iron (vblex) 
smyglo	smuggle (vblex) 
smygu	smoke (vblex) 
snap	snap (n) 
sniffian	sniff (vblex) 
snwffian	sniff (vblex) 
snwffio	sniffle (vblex) 
sobreiddio	sober#_up (vblex) 
sobrio	sober#_up (vblex) 
sobri	sober#_up (vblex) 
soced	socket (n) 
soddi	sink (vblex) 
sodli	follow#_on_the_heel (vblex) 
sodro	solder (vblex) 
soffistigedig	sophisticated (adj) 
Sofia (np) 	Sofia (np.ant) 
Sofia	Sofia (np.top) 
solet	solid (adj.sint) 
solid	solid (n) 
Somalia	Somalia (np.top) 
sombi	zombie (n) 
somi	disappoint (vblex) 
sôn#_am	talk#_about (vblex) 
Sònia (np) 	Sònia (np.ant) 
sonio	mention (vblex) 
sôn	mention (vblex) 
Sonny (np) 	Sonny (np.ant) 
sôn	rumour (n) 
sorri	sulk (vblex) 
sortio	sort (vblex) 
sosialaeth	socialism (n) 
sosialaidd	socialist (adj) 
sosialwr	socialist (n) 
sosialydd	socialist (n) 
Sri_Lanca	Sri_Lanka (np.top) 
Sri_Lanka	Ceylon (np.top) 
stad	estate (n) 
stadiwm	stadium (n) 
staenio	stain (vblex) 
staeno	stain (vblex) 
stafell	room (n) 
staff	staff (n) 
stampiedig	stamped (adj) 
stampio	stamp (vblex) 
stampo	stamp (vblex) 
stamp	stamp (n) 
starts	starch (n) 
statig	static (adj) 
statudol	statutory (adj) 
statws	status (n) 
Stefan (np) 	Stefan (np.ant) 
Stehen (np) 	Stehen (np.ant) 
steil	style (n) 
stensil	stencil (n) 
Stephen (np) 	Stephen (np.ant) 
steryllu	sterilise (vblex) 
Steven (np) 	Steven (np.ant) 
Stevens (np) 	Stevens (np.cog) 
Stewart (np) 	Stewart (np.ant) 
Stewart (np) 	Stewart (np.cog) 
sticio	stick (vblex) 
stigmateiddio	stigmatise (vblex) 
stilio	distil (vblex) 
stiwardio	keep#_watch (vblex) 
stiwdio	studio (n) 
St_Lucia	Saint_Lucia (np.top) 
stocanu	stook (vblex) 
stoc-ddaliad	stockholding (n) 
stocio	stock (vblex) 
Stockholm	Stockholm (np.top) 
stocrestr	stocklist (n) 
stoc	stock (n) 
stof	stove (n) 
stompio	mash (vblex) 
stondin	stall (n) 
stôn	stone (n) 
stopio	stop (vblex) 
stop	stop (n) 
stordy	warehouse (n) 
storfa	store (n) 
storio	store (vblex) 
stori	story (n) 
storm	storm (n) 
straen	stress (n) 
strancio	throw#_a_tantrum (vblex) 
strapio	strap (vblex) 
Strasbourg	Strasbourg (np.top) 
strategaeth	strategy (n) 
strategol	strategic (adj) 
streicio	go#_on_strike (vblex) 
streic	strike (n) 
stribed	strip (n) 
strimio	strim (vblex) 
Struan (np) 	Struan (np.ant) 
strwythuredig	structured (adj) 
strwythurol	structural (adj) 
strwythuro	structure (vblex) 
strwythur	structure (n) 
stryd	street (n) 
Stuart (np) 	Stuart (np.ant) 
stumogi	stomach (vblex) 
St_Vincent_a'r_Grenadines	Saint_Vincent_and_the_Grenadines (np.top) 
stwffio	stuff (vblex) 
stwmpo	mash (vblex) 
stwns	hash (n) 
stwnsio	mash (vblex) 
Sudan	Sudan (np.top) 
sudd	juice (n) 
suddo	sink (vblex) 
sugno	suck (vblex) 
Sul	Sunday (n) 
Summers (np) 	Summers (np.cog) 
suo	buzz (vblex) 
Suriname	Suriname (np.top) 
Surinam	Suriname (np.top) 
suro	sour (vblex) 
Susan (np) 	Susan (np.ant) 
sut (adv) 	how (adv.itg) 
sut	what_sort_of (det.itg) 
Suzanne (np) 	Suzanne (np.ant) 
swalpio	wriggle (vblex) 
swatio	crouch (vblex) 
Swaziland	Swaziland (np.top) 
swbachu	shrivel (vblex) 
swcro	give#_refuge (vblex) 
Swdan	Sudan (np.top) 
Sweden	Sweden (np.top) 
swigen	bubble (n) 
switsfwrdd	switchboard (n) 
switsio	switch (vblex) 
swits	switch (n) 
swmpo	fondle (vblex) 
swm	sum (n) 
swnan	grumble (vblex) 
swnial	mutter (vblex) 
swnian	grumble (vblex) 
swnio	sound (vblex) 
sŵn	noise (n) 
swno	sound (vblex) 
swn	sound (n) 
swnydd	pager (n) 
swp	batch (n) 
swpera	eat#_supper (vblex) 
swper	supper (n) 
swperu	eat#_supper (vblex) 
Swrinam	Suriname (np.top) 
Swrinâm	Suriname (np.top) 
swyddfa	office (n) 
Swyddfa'r_Post (np.org) 	Post_Office (np.org) 
swydd	job (n) 
swyddogaeth	functionality (n) 
swyddogaeth	function (n) 
swyddogaethol	functional (adj) 
swyddog	officer (n) 
swyddogol	official (adj) 
swyno	enchant (vblex) 
sŵ	zoo (n) 
sybachu	shrivel (vblex) 
Sybell (np) 	Sybell (np.ant) 
Sybill (np) 	Sybill (np.ant) 
Sybil (np) 	Sybil (np.ant) 
sychdarthu	sublimate (vblex) 
sych	dry (adj.sint) 
sychedu	thirst (vblex) 
sychlyd	dry (adj.sint) 
sychu	dry (vblex) 
sydyn	sudden (adj) 
syflu	shift (vblex) 
syflyd	shift (vblex) 
syfrdanol	stunning (adj) 
syfrdanu	astound (vblex) 
sylfaen	basis (n) 
sylfaen	foundation (n) 
sylfaenol	fundamental (adj) 
sylfaenu	base (vblex) 
syllio	stare (vblex) 
syllu	stare (vblex) 
sylwad	comment (n) 
sylw	attention (n) 
sylw	comment (n) 
sylwebu	commentate (vblex) 
sylweddadwy	realiseable (adj) 
sylweddoliad	realisation (n) 
sylweddoli	realise (vblex) 
sylweddol	substantial (adj) 
sylwedd	substance (n) 
sylwi#_ar	notice (vblex) 
sylwi	notice (vblex) 
symbolaidd	symbolic (adj) 
symboliaeth	symbolism (n) 
symbol	symbol (n) 
symbyliad	stimulus (n) 
symbylio	motivate (vblex) 
symbylu	motivate (vblex) 
symio	assess (vblex) 
symleiddio	simplify (vblex) 
symlrwydd	simplicity (n) 
syml	simple (adj.sint) 
symlu	urge (vblex) 
Symond (np) 	Symond (np.ant) 
symposiwm	symposium (n) 
symptom	symptom (n) 
sym	sum (n) 
symudadwy	removable (adj) 
symudiad	movement (n) 
symud	move (vblex) 
symudol	mobile (adj) 
symudwr	remover (n) 
synagog	synagogue (n) 
syn	amazed (adj) 
syndod	amazement (n) 
syndod	surprise (n) 
synergedd	synergy (n) 
synfyfyrdod	reverie (n) 
synfyfyrio	ponder (vblex) 
synhwyrol	sensible (adj) 
synhwyro	sense (vblex) 
synhwyrydd	sensor (n) 
syniad	idea (n) 
synied	think (vblex) 
synio	think (vblex) 
synnu	astonish (vblex) 
synnu#_at	be#_surprised_at (vblex) 
synnwyr	sense (n) 
syntheseiddio	synthesise (adj) 
syntheseisydd	synthesiser (n) 
synthesis	synthesis (n) 
synthetig	synthetic (adj) 
sypio	bundle (vblex) 
sypynio	bundle (vblex) 
sypynnu	bundle (vblex) 
syrffed	surfeit (n.unc) 
syrffedu	be#_sick_and_tired_of (vblex) 
Syria	Syria (np.top) 
Syrilig	Cyrillic (adj) 
syr	sir (n) 
syrthio	fall (vblex) 
systematig	systematic (adj) 
system	system (n) 
syth	straight (adj) 
sythu	benumb (vblex) 
sythu	straighten (vblex) 
tabernaclu	dwell (vblex) 
tabler	backgammon (n) 
tabl	table (n) 
tablydd	tabulator (n) 
tab	tab (n) 
tabyrddio	drum (vblex) 
tabyrddu	drum (vblex) 
Tachwedd	November (n) 
tacio	tack (vblex) 
taclo	tackle (vblex) 
tacluso	tidy (vblex) 
taclu	tackle (vblex) 
tacsi	taxi (n) 
tactegol	tactical (adj) 
tacteg	tactic (n) 
tad	father (n) 
tadogi	attribute (vblex) 
tadolaeth	fatherhood (n) 
taenellu	sprinkle (vblex) 
taenlen	spreadsheet (n) 
taenu	spread (vblex) 
taeru	insist (vblex) 
taer	urgent (adj) 
tafarn	tavern (n) 
tafellu	slice (vblex) 
taflen	leaflet (n) 
taflodi	palatalise (vblex) 
taflunio	project (vblex) 
taflu	throw (vblex) 
tafodiaith	dialect (n) 
tafodi	berate (vblex) 
tafoli	balance (vblex) 
tafol	scales (n) 
tagfa	bottleneck (n) 
tag	tag (n) 
tagu	choke (vblex) 
taid	grandfather (n) 
tair	three (num) 
taith	journey (n) 
Taiwan	Taiwan (np.top) 
Taiwàn	Taiwan (np.top) 
Tajicistan	Tajikistan (np.top) 
Tajikistan	Tajikistan (np.top) 
talchu	clot (vblex) 
talchu	shatter (vblex) 
taldra	height (n) 
taldra	tallness (n) 
Taleithiau_Ffederal_Micronesia	Federated_States_of_Micronesia (np.top) 
Taleithiau_Ffederyddol_Meicronesia	Federated_States_of_Micronesia (np.top) 
talentog	talented (adj) 
Talfan (np) 	Talfan (np.ant) 
talfyredig	abbreviated (adj) 
talfyriad	abbreviation (n) 
talfyrru	abbreviate (vblex) 
talgrychu	scowl (vblex) 
talgryniad	rounding (n) 
talgrynnu	round#_up (vblex) 
taliad	payment (n) 
talmu	resolve (vblex) 
tâl	payment (n) 
tal	tall (adj.sint) 
talu	pay (vblex) 
tameidio	cut#_into_morsels (vblex) 
tameidiog	fragmented (adj) 
tanamcangyfrifo	underestimate (vblex) 
tanasio	fire-weld (vblex) 
tanbeidio	flare (vblex) 
tanberfformio	underperform (vblex) 
tancer	tanker (n) 
tanchwa	explosion (n) 
tân	fire (n) 
tanfor	submarine (adj) 
tanfuddsoddi	underinvest (vblex) 
tangiad	tangent (n) 
tangloddio	undermine (vblex) 
tangnefeddu	pacify (vblex) 
tangram	tangram (n) 
tangynrychioli	under-represent (vblex) 
taniad	firing (n) 
Tània (np) 	Tània (np.ant) 
tanio	fire (vblex) 
tanlinelliad	underscore (n) 
tanlinellu	underline (vblex) 
tannu	spread (vblex) 
Tansanîa	Tanzania (np.top) 
Tansanïa	Tanzania (np.top) 
tanseilio	undermine (vblex) 
tansoddi	submerge (vblex) 
tansuddo	submerge (vblex) 
tant	string (n) 
tan	under (pr) 
tan	until (pr) 
tanwydd	fuel (n) 
tanysgrifiad	subscription (n) 
tanysgrifiedig	subscribed (adj) 
tanysgrifio	subscribe (vblex) 
Tanzania	Tanzania (np.top) 
Taoaeth	Taoism (n) 
tapio	tape (vblex) 
tapo	sole (vblex) 
tâp	tape (n) 
taranu	thunder (vblex) 
tarddellu	emanate (vblex) 
tarddiad	source (n) 
tardd	origin (n) 
tarddu	originate (vblex) 
tarfu	disturb (vblex) 
targed	target (n) 
targedu	target (vblex) 
tarian	shield (n) 
taro	crisis (n) 
taro	emergency (n) 
taro	strike (vblex) 
tasglu	taskforce (n) 
tasg	task (n) 
tasgu	splash (vblex) 
tasio	stack (vblex) 
tasu	stack (vblex) 
taten	potato (n) 
tawel	quiet (adj) 
tawelu	silence (vblex) 
tawelwch	equanimity (n) 
tawelwch	quiet (n) 
tawlu	throw (vblex) 
taw	that (cnjsub) 
T.A.W.	V.A.T. (n) 
Taylor (np) 	Taylor (np.ant) 
Taylor (np) 	Taylor (np.cog) 
Tchad	Chad (np.top) 
tebygol	likely (adj) 
tebygol	probable (adj) 
tebygolrwydd	probability (n) 
tebygrwydd	similarity (n) 
tebyg	similar (adj) 
tebygu	liken (vblex) 
tecáu	embellish (vblex) 
technegol	technical (adj) 
techneg	technique (n) 
technolegol	technological (adj) 
technoleg	technology (n) 
teclyn	gadget (n) 
tegeirian	orchid (n) 
teg	fair (adj.sint) 
teigr	tiger (n) 
teilo	manure (vblex) 
teilsen	tile (n) 
teilwra	tailor (vblex) 
teilwrio	tailor (vblex) 
teilynghau	sanctify (vblex) 
teilyngu	deserve (vblex) 
teimlad	feeling (n) 
teimlo	feel (vblex) 
teipiadur	typewriter (n) 
teipio	type (vblex) 
teipograffeg	typography (n) 
teip	type (n) 
teirannu	trisect (vblex) 
teithiol	itinerant (adj) 
teithio	travel (vblex) 
teithiwr	traveller (n) 
teitl	title (n) 
telathrebiad	telecommunication (n) 
telecsio	telex (vblex) 
teledu	televise (vblex) 
teledu	television (n) 
